Mon Dec 23 13:00:09 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,"b'RT SeptianiLisma_ Selain hadiah Rp 2 miliar juara 1,2,3 diajak meninjau langsung lokasi IKN Kalimantan Timur \xe2\x80\xa6'"
Mon Dec 23 13:00:05 +0000 2019,@visitortwt,visitortwt1,,0.4404,0.172,0.828,0.0,"b""RT SeptianiLisma_ Dari aspek `` Rimba Nusantara '' desain dinilai terbaik desain Hak cipta des\xe2\x80\xa6"""
Mon Dec 23 12:59:56 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,b'RT SeptianiLisma_ Pemilihan pemenang didasarkan aspek 1. kota terbebas 2. kota memiliki iden\xe2\x80\xa6'
Mon Dec 23 12:59:50 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,b'RT SeptianiLisma_ Salah dewan juri ridwankamil salah arsitek handal menjabat Gubernur Jawa Barat menyebut \xe2\x80\xa6'
Mon Dec 23 12:59:40 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Hal dipilihnya desain `` Rimba Nusantara '' menandai pekerjaan bangsa memind\xe2\x80\xa6"""
Mon Dec 23 12:59:36 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Menteri KemenPU Basuki Hadimulyono salah `` komandan '' proses pemindahan Ibu Kota kementeriannya yang\xe2\x80\xa6"""
Mon Dec 23 12:59:30 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,b'RT SeptianiLisma_ masyarakat kesempatan usul berwujud IKN Sebanya\xe2\x80\xa6'
Mon Dec 23 12:59:25 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,b'RT SeptianiLisma_ Bukan sekedar keren indahnya desain sang pemenang kagumi proses say\xe2\x80\xa6'
Mon Dec 23 12:59:16 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,b'RT SeptianiLisma_ Pemenang sayembara desain Ibu Kota Negara Republik Indonesia Kalimantan Timur resmi ditetapkan Senin\xe2\x80\xa6'
Mon Dec 23 12:58:45 +0000 2019,@visitortwt,visitortwt1,,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:58:28 +0000 2019,MasJen,toekangngopii,Dinegara #ReformasiDikorupsi,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:54:23 +0000 2019,Gulai_puyu,Gulai_puyu,"West Sumatra, Indonesia",0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:52:55 +0000 2019,?,DzkrN,Worldwide,0.0,0.0,1.0,0.0,b'RT detikcom Mantul Desain Nagara Rimba Nusantara memenangkan sayembara kota negara IKN Kaltim Pemilik desain meng\xe2\x80\xa6'
Mon Dec 23 12:52:47 +0000 2019,Why So Serious?,SydSalesman,Mlati Glondong - Sleman,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:50:52 +0000 2019,Fitri Yunita,fitriiyunitaa,"West Sumatra, Indonesia",0.0,0.0,1.0,0.0,b'RT detikcom Mantul Desain Nagara Rimba Nusantara memenangkan sayembara kota negara IKN Kalimantan Timur Begini konsepnya \xe2\x80\xa6'
Mon Dec 23 12:49:28 +0000 2019,bangkapos,bangkaposdotcom,Kota Pangkal Pinang,0.0,0.0,1.0,0.0,b'Nagara Rimba Nusa Pemenang Sayembara Desain Ibu Kota Baru Negara Begini Penampakan Desainnya\xe2\x80\xa6 https //t.co/7KY0b1j50M'
Mon Dec 23 12:47:05 +0000 2019,Popmie,akael95,Indonesia,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:38:59 +0000 2019,Nang Lecir,erryfreakz,Bali,0.0,0.0,1.0,0.0,b'RT detikcom Mantul Desain Nagara Rimba Nusantara memenangkan sayembara kota negara IKN Kaltim Pemilik desain meng\xe2\x80\xa6'
Mon Dec 23 12:36:35 +0000 2019,Kirana Faizah,faizah_kirana,,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:33:49 +0000 2019,Saintlukas231,saintlukas231,,0.0,0.0,1.0,0.0,b'RT detikcom Hari pemenangnya diumumkan Totalnya 755 peserta mengikuti kompetisi sayembara desain kota Ini nih\xe2\x80\xa6'
Mon Dec 23 12:30:03 +0000 2019,V/alembang,yus81,"tanjung priok,jakarta utara",0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:27:09 +0000 2019,fankychristian,fankych,jakarta,0.0,0.0,1.0,0.0,b'RT detikfinance Mantul Desain Nagara Rimba Nusantara memenangkan sayembara kota negara IKN Kalimantan Timur Begini konsep\xe2\x80\xa6'
Mon Dec 23 12:25:12 +0000 2019,eko w.nendo #wongtani,ekowahyunendo,"Ngawi, Indonesia",0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:22:41 +0000 2019,jibran-inca,jibransauqi,,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:22:32 +0000 2019,taqi,tonggosmovic,di bawah langit masih ada bumi,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:22:31 +0000 2019,Silvya,silvyeay,Hidden Paradise,0.0,0.0,1.0,0.0,b'RT walhinasional Beban lingkungan Kaltim yg sdh berat ekstraksi sumber daya alam akn bertambah krisis multidimensi perl\xe2\x80\xa6'
Mon Dec 23 12:21:13 +0000 2019,Wong Lonjo,burhanleho,"Trenggalek, Indonesia",0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:11:52 +0000 2019,ᮘᮤᮇᮖᮦᮘ᮪,biofeb,ᮘᮔ᮪ᮓᮥᮀ  [Bandung],0.0,0.0,1.0,0.0,b'RT walhinasional Beban lingkungan Kaltim yg sdh berat ekstraksi sumber daya alam akn bertambah krisis multidimensi perl\xe2\x80\xa6'
Mon Dec 23 12:11:46 +0000 2019,ᮘᮤᮇᮖᮦᮘ᮪,biofeb,ᮘᮔ᮪ᮓᮥᮀ  [Bandung],0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:11:02 +0000 2019,Abi din,Daniabidin1,"West Papua, Indonesia",0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:10:56 +0000 2019,ஜ UniPipy ஜ,andhika_thalib,,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:08:31 +0000 2019,AntiMandi Pagi,herkatryafitra,Indonesia,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:08:16 +0000 2019,ohtentusayatahu,sayakanmapres,,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:08:15 +0000 2019,agus supriyadi,aguskunimitsu,Masih di bumi ,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:03:33 +0000 2019,Yusron,yvsron,KOTA BATU,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 12:02:12 +0000 2019,Faris Fauzan,frsfauzan,Neverland,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 12:02:10 +0000 2019,Lina Chan,Lina_Febriana,Indonesia,0.0,0.0,1.0,0.0,b'RT detikcom Mantul Desain Nagara Rimba Nusantara memenangkan sayembara kota negara IKN Kaltim Pemilik desain meng\xe2\x80\xa6'
Mon Dec 23 11:58:44 +0000 2019,kenjiarioki 4th,WhyHerdy,,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 11:56:37 +0000 2019,🇲🇨Galih_Akek🇲🇨,Galih_Akek,,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
